
2; Andrew Souders; ; Jr; D; 14; 14; 1; 1; 3; 2; 0.5; 2; 1; 3; 0; 0-0; 0
3; Saad Abdul-Salaam; ; Sr; F; 15; 15; 2; 5; 9; 15; 0.133; 5; 0.333; 0; 0; 0-0; 1
4; Niko De vera; ; Fr; D; 2; 1; 0; 0; 0; 0; -; 0; -; 0; 0; 0-0; 0
5; Danilo Radjen; ; Jr; D; 3; 2; 0; 0; 0; 0; -; 0; -; 0; 0; 0-0; 0
6; Richie Laryea; ; Fr; ; 14; 14; 1; 1; 3; 14; 0.071; 6; 0.429; 6; 0; 0-0; 0
7; Sam Gainford; ; Fr; F; 15; 10; 2; 3; 7; 30; 0.067; 16; 0.533; 1; 0; 0-0; 0
8; Victor Souto; ; So; ; 12; 12; 1; 0; 2; 15; 0.067; 4; 0.267; 2; 0; 01/02/14; 0
9; Stuart Holthusen; ; Fr; F; 15; 7; 4; 3; 11; 23; 0.174; 10; 0.435; 2; 0; 1/1; 1
10; Adam Najem; ; So; ; 15; 15; 9; 2; 20; 32; 0.281; 19; 0.594; 0; 0; 2/2; 3
11; Ismail Seremba; ; So; F; -; -; -; -; 0; -; -; -; -; -; -; 0-0; -
12; Adi Dakwar; ; Fr; F; 2; -; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0-0; 0
13; Sean Sepe; ; Jr; F; 14; 11; 2; 1; 5; 20; 0.1; 10; 0.5; 1; 0; 0-0; 2
14; Bryce Cregan; ; Fr; D; 14; 12; 0; 1; 1; 2; 0; 0; 0; 0; 0; 0-0; 0
15; Jesse Garcia-Aguilar; ; Fr; ; 15; 10; 1; 1; 3; 8; 0.125; 3; 0.375; 1; 0; 0-0; 1
16; Nate Shultz; ; Fr; F; 13; 5; 1; 0; 2; 5; 0.2; 1; 0.2; 1; 0; 0-0; 1
17; Anthony Macchione; ; Fr; F; 14; 1; 1; 0; 2; 10; 0.1; 6; 0.6; 0; 0; 0-0; 0
18; Ezana Kahsay; ; Fr; D; -; -; -; -; 0; -; -; -; -; -; -; 0-0; -
19; Tyler Sanda; ; Fr; ; 2; 1; 0; 0; 0; 0; -; 0; -; 0; 0; 0-0; 0
20; Brad Ruhaak; ; So; D; 15; 13; 1; 0; 2; 7; 0.143; 2; 0.286; 3; 0; 0-0; 0
21; Brent Nanchoff; ; Fr; ; -; -; -; -; 0; -; -; -; -; -; -; 0-0; -
22; Robby Dambrot; ; Fr; D; 10; 3; 0; 1; 1; 0; -; 0; -; 1; 0; 0-0; 0
23; Elliott Rubio; ; Fr; GK; -; -; -; -; 0; -; -; -; -; -; -; 0-0; -
24; Jake Fenlason; ; Jr; GK; 15; 15; 0; 0; 0; 0; -; 0; -; 0; 0; 0-0; 0
25; Clint Caso; ; Sr; ; 6; 1; 0; 0; 0; 2; 0; 0; 0; 1; 0; 0-0; 0
26; Johnny DeMoya; ; Fr; GK; -; -; -; -; 0; -; -; -; -; -; -; 0-0; -
27; Nathan Quirk; ; Fr; ; 7; 3; 0; 0; 0; 6; 0; 2; 0.333; 2; 0; 0-0; 0
28; Shane Wiedt; ; Fr; D; -; -; -; -; 0; -; -; -; -; -; -; 0-0; -
29; Dener Dos santos; ; So; ; 4; -; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0-0; 0
